_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
AHjnVPGdXh,2020-06-28T18:14:13.057Z,2676060.0,46.0,23.0,1.0,9.0,0.0,1.0,0.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-28T18:18:40.673Z,2020-07-31T22:47:22.886Z
n2sigxybC7,2020-06-28T20:18:37.568Z,2363070.0,26.0,29.0,26.0,29.0,0.0,0.0,1.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-28T20:24:57.481Z,2020-07-31T22:46:24.171Z
4WhuE3f2hK,2020-06-28T20:49:30.804Z,7113692.0,15.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,parse-cloud,_User$FmQ1yI4y2X,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-28T20:50:43.235Z,2020-07-31T22:46:02.602Z
G1jJ6j6PTP,2020-06-29T03:00:00.000Z,2362287.0,63.0,10.0,18.0,2.0,0.0,0.0,0.0,3.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-29T13:49:28.126Z,2020-07-31T22:44:47.268Z
U79LKlCRR2,2020-06-29T17:56:54.871Z,2676060.0,47.0,23.0,1.0,8.0,0.0,0.0,1.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-29T18:09:28.656Z,2020-07-31T22:31:58.702Z
PeJYEvTavA,2020-06-30T13:23:29.569Z,2676060.0,47.0,22.0,2.0,9.0,0.0,0.0,0.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-30T13:24:43.126Z,2020-07-31T22:20:49.345Z
zdM9znO7b0,2020-07-01T00:31:46.532Z,2363070.0,31.0,29.0,31.0,29.0,0.0,0.0,1.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-01T00:32:43.263Z,2020-07-31T22:15:27.135Z
CqKpwH4o54,2020-06-29T03:00:00.000Z,2363070.0,27.0,29.0,27.0,29.0,0.0,0.0,0.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-01T00:36:23.526Z,2020-07-31T22:42:51.031Z
mTIwSdF4rl,2020-06-30T03:00:00.000Z,2362287.0,77.0,8.0,16.0,2.0,0.0,0.0,0.0,2.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-01T13:24:24.422Z,2020-07-31T22:28:39.796Z
nZYe4YbGN9,2020-07-01T13:25:13.900Z,2362287.0,75.0,9.0,6.0,0.0,0.0,0.0,0.0,10.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-01T13:25:28.964Z,2020-07-31T22:06:09.798Z
nkAJxbtlKK,2020-07-01T14:37:52.941Z,2676060.0,43.0,19.0,2.0,8.0,0.0,0.0,1.0,1.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-01T14:43:08.651Z,2020-07-31T22:04:44.578Z
Q9ptejytaK,2020-07-01T20:37:37.605Z,2363070.0,33.0,30.0,33.0,30.0,0.0,0.0,0.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-01T20:37:59.927Z,2020-07-31T22:01:13.701Z
RB6ZWKoc5v,2020-07-02T19:30:11.464Z,2676060.0,53.0,19.0,2.0,8.0,0.0,0.0,1.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-02T19:31:24.668Z,2020-07-31T21:47:29.717Z
Gi6sBW5Drn,2020-07-02T19:45:35.927Z,7113692.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,parse-cloud,_User$FmQ1yI4y2X,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-02T19:47:30.110Z,2020-07-31T21:47:23.232Z
fsjX0REOiD,2020-07-02T23:19:34.343Z,2363070.0,27.0,31.0,27.0,31.0,0.0,1.0,3.0,2.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-02T23:22:43.887Z,2020-07-31T21:46:14.071Z
yxEVPGV02x,2020-07-03T14:43:48.016Z,2676060.0,56.0,19.0,1.0,7.0,0.0,0.0,1.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-03T14:46:17.612Z,2020-07-31T21:36:11.865Z
gQQ4iBQn4L,2020-07-03T16:13:52.959Z,7113692.0,12.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,parse-cloud,_User$FmQ1yI4y2X,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-07-03T16:14:58.217Z,2020-07-31T21:35:14.680Z
